Event 138712532,-1.4174
Event 138712563,-2.90545
Event 138712893,-0.215764
Event 138712973,2.12302
Event 138713254,-1.57317
Event 138713325,0.66161
Event 138713277,2.60132
Event 138713390,2.86084
Event 138713496,0.311335
Event 138713558,2.93097
Event 138713892,2.31279
Event 138714124,2.07366
Event 138714138,-1.47969
Event 138714151,-0.929726
Event 138714390,0.422813
Event 138714518,2.55044
Event 138714540,-0.967781
Event 138714739,0.371318
Event 138714779,1.21043
Event 138714819,0.0859978
Event 138714815,-0.247226
Event 138715012,-0.586067
Event 138715325,-2.68565
Event 138715325,-2.62302
Event 138715367,0.291826
Event 138715293,-1.97765
Event 138715436,1.29729
Event 138715552,-1.46289
Event 138715878,-0.882901
Event 138715923,1.69389
Event 138716090,-2.70488
Event 138716124,-2.6396
Event 138716124,-1.78463
Event 138716132,0.540485
Event 138716234,-1.70394
Event 138716272,3.04523
Event 138716409,2.30745
Event 138716655,-2.01603
Event 138716870,1.94852
Event 138716943,0.134122
